obs_p,obs_q,obs_teta
0.0,1.707,0.289
0.0,1.673,0.289
0.0,1.655,0.2889166666666666
0.0,1.604,0.2879999999999999
0.0,1.655,0.2879999999999999
0.0,1.604,0.2879999999999999
0.0,1.587,0.2876666666666666
0.0,1.604,0.287
0.0,1.587,0.287
0.0,1.57,0.287
0.0,1.587,0.287
0.0,1.57,0.287
0.0,1.57,0.2868333333333333
0.0,1.57,0.28625
0.0,1.57,0.286
0.0,1.57,0.286
0.0,1.587,0.286
0.0,1.655,0.286
0.0001,1.638,0.28525
0.0,1.638,0.285
0.0,1.604,0.285
0.0,1.587,0.2844999999999999
0.0,1.57,0.2839999999999999
0.0,1.587,0.2839999999999999
0.0,1.57,0.2834999999999999
0.0,1.57,0.283
0.0,1.57,0.283
0.0,1.537,0.28225
0.0,1.52,0.282
0.0,1.52,0.282
0.0,1.52,0.2819166666666666
0.0,1.503,0.2810833333333334
0.0,1.503,0.2810000000000001
0.0,1.52,0.2810000000000001
0.0,1.52,0.2810000000000001
0.0,1.52,0.2810000000000001
0.0,1.52,0.2810000000000001
0.0,1.503,0.2810000000000001
0.0,1.52,0.2808333333333334
0.0,1.537,0.2809166666666667
0.0,1.554,0.2806666666666668
0.0,1.503,0.2800000000000001
0.0,1.52,0.2800000000000001
0.0,1.537,0.2800000000000001
0.0,1.537,0.2792499999999999
0.0,1.52,0.2789999999999999
0.0,1.52,0.27875
0.0,1.503,0.278
0.0,1.503,0.278
0.0,1.503,0.2770833333333334
0.0,1.52,0.2770000000000001
0.0,1.47,0.2770000000000001
0.0,1.453,0.2762499999999999
0.0,1.453,0.2759999999999999
0.0,1.436,0.2759999999999999
0.0,1.436,0.2759999999999999
0.0,1.436,0.2759166666666666
0.0,1.453,0.2751666666666666
0.0,1.436,0.2749999999999999
0.0,1.453,0.2749999999999999
0.0,1.453,0.2749999999999999
0.0,1.453,0.2749999999999999
0.0,1.453,0.2749999999999999
0.0,1.453,0.2749999999999999
0.0,1.453,0.2749999999999999
0.0,1.453,0.2749999999999999
0.0,1.47,0.2749166666666666
0.0,1.486,0.274
0.0,1.47,0.274
0.0,1.436,0.2731666666666667
0.0,1.436,0.2730000000000001
0.0,1.436,0.2725000000000001
0.0,1.42,0.2720000000000001
0.0,1.42,0.2716666666666666
0.0,1.42,0.2709999999999999
0.0,1.386,0.2709999999999999
0.0,1.386,0.2700833333333333
0.0,1.37,0.27
0.0,1.37,0.27
0.0,1.386,0.2693333333333334
0.0,1.386,0.2690833333333334
0.0,1.386,0.2690000000000001
0.0,1.386,0.2690000000000001
0.0,1.386,0.2690000000000001
0.0,1.386,0.2690000000000001
0.0,1.403,0.2690000000000001
0.0,1.655,0.2690000000000001
0.0,1.655,0.2690000000000001
0.0,1.604,0.2690000000000001
0.0,1.403,0.2682499999999999
0.0,1.52,0.2679999999999999
0.0,1.537,0.2679999999999999
0.0,1.436,0.2673333333333332
0.0,1.386,0.2669999999999999
0.0,1.353,0.26625
0.0,1.337,0.266
0.0,1.353,0.2654166666666667
0.0,1.353,0.265
0.0,1.353,0.2647500000000001
0.0,1.32,0.2640833333333334
0.0,1.337,0.264
0.0,1.32,0.264
0.0,1.337,0.2638333333333333
0.0,1.32,0.2631666666666666
0.0,1.32,0.2629999999999999
0.0,1.304,0.2629999999999999
0.0,1.32,0.2629999999999999
0.0,1.32,0.2629999999999999
0.0,1.32,0.2629999999999999
0.0,1.337,0.2629999999999999
0.0,1.337,0.2629999999999999
0.0,1.337,0.2629999999999999
0.0,1.353,0.2629166666666666
0.0,1.37,0.262
0.0,1.42,0.262
0.0,1.436,0.2614166666666667
0.0,1.42,0.261
0.0,1.386,0.2604999999999999
0.0,1.386,0.2599999999999999
0.0,1.37,0.2594166666666666
0.0,1.353,0.2589999999999999
0.0,1.337,0.2581666666666666
0.0,1.353,0.258
0.0,1.337,0.2576666666666667
0.0,1.32,0.257
0.0,1.32,0.257
0.0,1.304,0.257
0.0,1.304,0.2568333333333334
0.0,1.304,0.2564166666666667
0.0,1.288,0.256
0.0,1.288,0.256
0.0,1.304,0.256
0.0,1.32,0.256
0.0,1.32,0.256
0.0,1.32,0.256
0.0,1.32,0.256
0.0,1.337,0.256
0.0,1.337,0.256
0.0001,1.337,0.2556666666666666
0.0,1.353,0.2551666666666666
0.0,1.37,0.2549999999999999
0.0,1.353,0.2545
0.0,1.353,0.254
0.0,1.353,0.2539166666666667
0.0,1.337,0.253
0.0,1.353,0.2524999999999999
0.0,1.32,0.2519999999999999
0.0,1.337,0.2519999999999999
0.0,1.32,0.25175
0.0,1.32,0.2509999999999999
0.0,1.32,0.2509999999999999
0.0,1.32,0.2509999999999999
0.0,1.32,0.2509999999999999
0.0,1.32,0.2509999999999999
0.0,1.32,0.2509999999999999
0.0,1.32,0.2509999999999999
0.0,1.32,0.2509166666666666
